"Historical price chart data"
"Date: 01/02/2016 - 09/12/2016"
"RENAULT"
"ISIN","MIC","Date","Open","High","Low","Close","Number of Shares","Number of Trades","Turnover","Currency"
"FR0000131906","Euronext Paris","09/06/2016","81.36","81.43","79.50","79.57","670190","6757","53590600.12","EUR"
"FR0000131906","Euronext Paris","10/06/2016","79.45","79.47","77.65","78.09","648326","8205","50709661.44","EUR"
"FR0000131906","Euronext Paris","13/06/2016","76.68","77.09","75.56","76.14","827289","10069","63179642.92","EUR"
"FR0000131906","Euronext Paris","14/06/2016","75.56","75.56","73.42","74.32","1370740","14038","101841835.80","EUR"
"FR0000131906","Euronext Paris","15/06/2016","75.06","75.68","74.13","74.13","861809","9046","64327383.83","EUR"
"FR0000131906","Euronext Paris","16/06/2016","73.15","74.90","72.52","74.55","1082986","11359","79819374.58","EUR"
"FR0000131906","Euronext Paris","17/06/2016","75.39","76.99","74.96","76.18","1084513","10433","82590801.78","EUR"
"FR0000131906","Euronext Paris","20/06/2016","78.76","79.22","77.80","78.87","1042831","10428","82190295.62","EUR"
"FR0000131906","Euronext Paris","21/06/2016","78.65","79.66","77.94","78.76","715481","8175","56460595.74","EUR"
"FR0000131906","Euronext Paris","22/06/2016","79.20","79.73","78.23","78.23","672979","6831","53164901.13","EUR"
"FR0000131906","Euronext Paris","23/06/2016","78.60","81.60","78.43","81.60","1122253","12522","90414134.09","EUR"
"FR0000131906","Euronext Paris","24/06/2016","67.48","74.82","65.50","70.49","4954151","47520","348208840.98","EUR"
"FR0000131906","Euronext Paris","27/06/2016","70.69","70.91","65.34","66.23","2224870","21543","149925938.86","EUR"
"FR0000131906","Euronext Paris","28/06/2016","69.17","69.93","68.19","68.32","1617269","17292","111634309.14","EUR"
"FR0000131906","Euronext Paris","29/06/2016","68.71","69.85","67.02","68.33","1607649","18283","110022747.37","EUR"
"FR0000131906","Euronext Paris","30/06/2016","68.46","68.87","67.22","68.44","1258593","11706","85866321.24","EUR"
"FR0000131906","Euronext Paris","01/07/2016","68.94","72.53","68.80","71.68","1486646","15379","105915483.15","EUR"
"FR0000131906","Euronext Paris","04/07/2016","72.36","72.38","69.00","69.13","837971","8160","58380773.47","EUR"
"FR0000131906","Euronext Paris","05/07/2016","68.54","68.79","66.25","66.55","1172536","12234","78714311.57","EUR"
"FR0000131906","Euronext Paris","06/07/2016","65.88","66.30","63.64","65.36","1773247","18937","114987538.81","EUR"
"FR0000131906","Euronext Paris","07/07/2016","65.66","68.45","65.66","65.80","1411049","13481","94256589.32","EUR"
"FR0000131906","Euronext Paris","08/07/2016","65.89","69.96","65.67","69.57","1150811","10944","79245079.13","EUR"
