Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
00:00:00 05-Jan-2013,53971.54,52861.03,53646.23,,1678.70,1644.16,1668.58
00:00:00 26-Dec-2012,54460.40,52367.15,53259.05,,1693.91,1628.80,1656.54
00:00:00 16-Dec-2012,54768.49,52603.30,53219.98,,1703.49,1636.15,1655.33
00:00:00 06-Dec-2012,55407.49,54210.63,54528.65,,1723.37,1686.14,1696.03
00:00:00 26-Nov-2012,56330.79,54191.88,54430.59,,1752.08,1685.56,1692.98
00:00:00 16-Nov-2012,56397.52,54864.29,56281.34,,1754.16,1706.47,1750.55
00:00:00 06-Nov-2012,55894.38,54138.32,55167.91,,1738.51,1683.89,1715.91
00:00:00 27-Oct-2012,55518.06,53789.52,54212.23,,1726.80,1673.04,1686.19
00:00:00 17-Oct-2012,56379.10,54637.67,55006.88,,1753.59,1699.42,1710.91
00:00:00 07-Oct-2012,57269.44,55611.93,56255.90,,1781.28,1729.72,1749.75
00:00:00 27-Sep-2012,57746.10,56368.18,57253.36,,1796.10,1753.25,1780.78
00:00:00 17-Sep-2012,57455.73,55909.63,56421.94,,1787.07,1738.98,1754.92
00:00:00 07-Sep-2012,57158.64,54321.08,57059.16,,1777.83,1689.57,1774.74
00:00:00 28-Aug-2012,55083.88,52993.12,54634.58,,1713.30,1648.27,1699.33
00:00:00 18-Aug-2012,53921.47,51794.79,53552.12,,1677.15,1611.00,1665.66
00:00:00 08-Aug-2012,52276.69,51170.37,51952.63,,1625.99,1591.58,1615.91
00:00:00 29-Jul-2012,52342.21,50973.65,51799.68,,1628.02,1585.46,1611.15
00:00:00 19-Jul-2012,52386.54,50280.65,52187.49,,1629.40,1563.90,1623.21
00:00:00 09-Jul-2012,51480.51,50018.04,50608.09,,1601.22,1555.73,1574.09
00:00:00 29-Jun-2012,52233.73,49881.69,50748.13,,1624.65,1551.49,1578.44
00:00:00 19-Jun-2012,52505.81,49793.16,49944.57,,1633.11,1548.74,1553.45
00:00:00 09-Jun-2012,52489.99,50913.06,52350.38,,1632.62,1583.57,1628.28
00:00:00 30-May-2012,52746.34,49308.69,51236.33,,1640.59,1533.67,1593.63
00:00:00 20-May-2012,51421.17,49324.93,49942.42,,1599.38,1534.18,1553.38
00:00:00 10-May-2012,51494.54,49118.53,51205.63,,1601.66,1527.76,1592.67
00:00:00 30-Apr-2012,53745.35,50799.80,51111.89,,1671.67,1580.05,1589.76
